plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF35-29C,ZF35,ZF35-29,2015-07-31,0,0,Black Spruce,1,Mesic,Colonizers,22.1,plains,6.513897799,64.093535,-117.458573
ZF35-2A,ZF35,ZF35-2,2015-07-28,0,0,Mixed,1,Mesic,Bare,4.35,plains,NA,64.057239,-117.472969
ZF35-2B,ZF35,ZF35-2,2015-07-28,0,0,Black Spruce,1,Xeric,Lichen,3.15,plains,NA,64.056125,-117.476088
ZF35-2C,ZF35,ZF35-2,2015-07-28,0,0,Black Spruce,1,Hydric,Sphagnum,38.1,plains,NA,64.05538,-117.472481
ZF35-33B,ZF35,ZF35-33,2015-07-30,0.124999999,0.375000001,Black Spruce,1,Xeric,Colonizers,1.35,plains,0.582568196,64.078563,-117.456903
ZF35-33C,ZF35,ZF35-33,2015-07-31,0,0.095238095,Black Spruce,1,Mesic,Colonizers,2.15,plains,1.669784596,64.076262,-117.451551
ZF35-37A,ZF35,ZF35-37,2015-07-29,0.062500001,0,Black Spruce,1,Xeric,Pleurocarpous,2.05,plains,NA,64.04381,-117.495504
ZF35-37B,ZF35,ZF35-37,2015-07-29,0,0,Black Spruce,1,Hydric,Sphagnum,29.1,plains,NA,64.042852,-117.492945
ZF35-37C,ZF35,ZF35-37,2015-07-31,0,0,Black Spruce,1,Xeric,Lichen,1.3,plains,NA,64.0424,-117.498048
ZF35-39A,ZF35,ZF35-39,2015-07-30,0.2,0,Black Spruce,1,Mesic,Colonizers,4.7,plains,4.553626101,64.096237,-117.460743
ZF35-39B,ZF35,ZF35-39,2015-07-30,0,0,Mixed,1,Xeric,Colonizers,0.75,plains,0.809616036,64.097694,-117.458787
ZF35-39C,ZF35,ZF35-39,2015-07-30,0,0,Black Spruce,1,Hydric,Colonizers,19.2,plains,11.0364959,64.098154,-117.462336
ZF35-40A,ZF35,ZF35-40,2015-07-30,0.722222223,0.166666667,Deciduous,1,Xeric,Lichen,0.9,plains,0.337605888,64.076505,-117.461014
ZF35-40B,ZF35,ZF35-40,2015-07-30,0,0,Black Spruce,1,Mesic,Pleurocarpous,24,plains,23.52763224,64.075273,-117.462071
ZF35-40C,ZF35,ZF35-40,2015-07-30,0,0.624999999,Jack Pine,1,Xeric,Colonizers,0.1,plains,NA,64.075079,-117.459685
ZF35-9A,ZF35,ZF35-9,2015-07-29,0,0,Black Spruce,1,Hydric,Pleurocarpous,37,plains,28.97576918,64.109149,-117.471852
ZF35-9B,ZF35,ZF35-9,2015-07-29,0.333333333,0,Black Spruce,1,Xeric,Lichen,3.1,plains,1.424607512,64.108026,-117.471579
ZF35-9C,ZF35,ZF35-9,2015-07-29,0,0,Black Spruce,1,Mesic,Pleurocarpous,12,plains,6.665953583,64.10842,-117.468173
ZF44-16A,ZF44,ZF44-16,2015-08-01,0,0,Black Spruce,1,Mesic,Lichen,9.65,shield,NA,64.09808,-117.26506
ZF44-16B,ZF44,ZF44-16,2015-08-01,0,0,Black Spruce,1,Xeric,Colonizers,6.3,shield,NA,64.099431,-117.263315
ZF44-16C,ZF44,ZF44-16,2015-08-02,0.041666666,0,Black Spruce,1,Hydric,Sphagnum,37.8,shield,NA,64.100552,-117.265509
